productId,name,price
1001,Wireless Mouse,19.99
1002,Mechanical Keyboard,79.99
1003,USB-C Charging Cable,12.49
1004,Bluetooth Speaker,45.00
1005,Laptop Stand,29.95
1006,Noise Cancelling Headphones,129.99
1007,Portable SSD 1TB,89.99
1008,Webcam 1080p,39.99
1009,Gaming Mouse Pad,14.99
1010,LED Desk Lamp,24.99
1011,Smartphone Tripod,18.50
1012,Wireless Earbuds,59.99
1013,Phone Screen Protector,8.99
1014,External Hard Drive 2TB,74.99
1015,USB Hub,21.99
1016,Monitor Stand,34.95
1017,HDMI Cable,11.99
1018,Portable Power Bank,32.99
1019,Smart Watch,149.99
1020,Action Camera,199.99
1021,Electric Toothbrush,49.99
1022,Air Fryer,89.95
1023,Blender,54.99
1024,Coffee Grinder,27.50
1025,Stainless Steel Water Bottle,16.99
1026,Yoga Mat,25.00
1027,Resistance Bands Set,19.95
1028,Dumbbell Set,129.99
1029,Camping Lantern,22.99
1030,Sleeping Bag,64.99
1031,Backpack,44.99
1032,Hiking Boots,94.99
1033,Rain Jacket,59.99
1034,Travel Pillow,17.99
1035,Portable Fan,15.49
1036,Desk Organizer,13.99
1037,Notebook Journal,9.99
1038,Ballpoint Pen Set,7.99
1039,Office Chair Cushion,28.99
1040,Whiteboard Markers,6.49
1041,Wireless Printer,139.99
1042,Ink Cartridge Pack,34.99
1043,Paper Shredder,49.95
1044,Mini Projector,219.99
1045,Tablet Stand,18.99
1046,Digital Alarm Clock,22.49
1047,Kitchen Knife Set,79.99
1048,Cutting Board,14.99
1049,Cast Iron Skillet,39.99
1050,Electric Kettle,31.99
1051,Vacuum Cleaner,159.99
1052,Robot Vacuum,249.99
1053,Laundry Basket,18.99
1054,Storage Bins Set,29.99
1055,Shower Curtain,16.49
1056,Bath Towel Set,34.99
1057,Memory Foam Pillow,44.95
1058,Weighted Blanket,69.99
1059,Queen Bed Sheets,39.99
1060,Blackout Curtains,52.99
1061,Dog Leash,12.99
1062,Cat Scratching Post,49.99
1063,Pet Food Container,24.99
1064,Aquarium Filter,36.99
1065,Bird Feeder,19.49
1066,Smart LED Bulbs,29.99
1067,Extension Cord,15.99
1068,Surge Protector,22.99
1069,Tool Set,89.99
1070,Cordless Drill,129.99
1071,Work Gloves,11.99
1072,Flashlight,17.99
1073,Car Phone Mount,14.49
1074,Dash Camera,89.99
1075,Jump Starter Battery Pack,74.99
1076,Tire Pressure Gauge,9.99
1077,Windshield Sun Shade,18.99
1078,Portable Car Vacuum,34.99
1079,Bike Helmet,49.99
1080,Fitness Tracker,59.99
1081,Tennis Racket,79.99
1082,Basketball,24.99
1083,Portable Cooler,54.99
1084,Beach Chair,39.99
1085,Picnic Blanket,21.99
1086,Board Game,29.99
1087,Puzzle 1000 Pieces,14.99
1088,Playing Cards,5.99
1089,Streaming Microphone,69.99
1090,Ring Light,32.99
1091,Green Screen Backdrop,49.99
1092,Graphics Drawing Tablet,89.99
1093,Photo Printer,119.99
1094,Smart Plug,17.99
1095,Video Doorbell,149.99
1096,Home Security Camera,89.99
1097,WiFi Router,129.99
1098,Mesh WiFi System,229.99
1099,Laptop Backpack,47.99
1100,Standing Desk,299.99